term,term_lemma,familiarity_score
book form,book form,2.0
book fund,book fund,2.5
book having another title,book have another title,1.625
book label,book label,3.0
book mobile,book mobile,1.75
book number,book number,1.5
book parcel for the mentally or physically handicapped,book parcel for the mentally or physically handicap,2.1875
book pocket,book pocket,1.5
book printed by large-sized type,book print by large - sized type,1.7
book printed in Buddhist temple,book print in buddhist temple,1.75
book reading service,book read service,2.0
book report,book report,2.25
book review,book review,2.25
book science,book science,1.5
book size,book size,1.5
book stack,book stack,3.0
book truck,book truck,1.5
book week,book week,1.5
bookcase,bookcase,2.0
booklet,booklet,4.0
bookplate,bookplate,3.0
bookrest,bookrest,3.0
books-by-mail service,book - by - mail service,2.0
bookshelf,bookshelf,2.0
bookshop,bookshop,2.0
bookstore,bookstore,1.0
booktalk,booktalk,3.0
bookworm,bookworm,3.0
bound with,bind with,2.5
braille library,braille library,1.0
braille material,braille material,2.0
branch,branch,2.5
branch library,branch library,1.75
brief cataloging,brief catalog,4.666666666666667
brittleness,brittleness,3.0
broad classification,broad classification,3.5
broken order,break order,1.5
browsing,browse,4.0
browsing collection,browse collection,2.5
browsing room,browse room,3.0
bulk lending,bulk lending,5.0
bulletin board system,bulletin board system,2.3333333333333335
bunko,bunko,3.0
bunko service,bunko service,3.0
busy book,busy book,1.5
butterfly binding,butterfly bind,2.5
call number,call number,1.25
call slip,call slip,2.25
canonical class,canonical class,3.0
capitalization,capitalization,3.0
caption title,caption title,3.0
card catalog,card catalog,1.0
card charging system,card charge system,2.0
carrel,carrel,3.0
carrier form,carrier form,3.5
case binding,case bind,2.5
catalog,catalog,3.0
catalog card,catalog card,1.0
catalog entry,catalog entry,3.0
cataloging code,catalog code,1.0
cataloging in publication,catalog in publication,2.75
cataloging rules,catalog rule,2.5
catchword index,catchword index,4.0
cathedoral library,cathedoral library,1.0
censorship,censorship,3.0
central library,central library,2.0
centralization of library,centralization of library,1.0
centralized cataloging,centralize cataloging,3.0
centralized processing,centralize processing,3.0
certification of librarian,certification of librarian,2.6666666666666665
certified librarian,certify librarian,3.5
certified library assistant,certify library assistant,2.5
chain,chain,2.0
chain index,chain index,3.0
chained book,chain book,2.0
change of name,change of name,1.3333333333333333
change of title,change of title,1.3333333333333333
changing custody,change custody,1.0
character set,character set,1.25
characteristic of division,characteristic of division,2.8333333333333335
charging system,charge system,2.5
chart,chart,3.5
chemical structure search,chemical structure search,2.3333333333333335
chief source of information,chief source of information,1.875
children's book,child 's book,1.3333333333333333
children's center library,child 's center library,1.0
children's librarian,child 's librarian,1.6666666666666667
children's library,child 's library,1.0
children's service,child 's service,1.6666666666666667
chronological designation,chronological designation,4.5
chronological order,chronological order,3.0
chronological order number,chronological order number,2.3333333333333335
chronological table,chronological table,2.75
church library,church library,1.0
circulating library,circulate library,3.0
circulation,circulation,5.0
circulation control system,circulation control system,3.1666666666666665
circulation per capita,circulation per capita,4.0
circulation per registration,circulation per registration,3.6666666666666665
circulation system,circulation system,3.5
circulation transaction,circulation transaction,5.0
circulation work,circulation work,3.0
citation,citation,5.0
citation analysis,citation analysis,4.0
citation index,citation index,4.5
citation order,citation order,3.25
clandestine literature,clandestine literature,3.0
class,class,3.0
class mark,class mark,2.5
class number,class number,2.0
class number heading,class number head,1.8333333333333333
classed catalog,class catalog,3.0
classic,classic,3.0
classification,classification,4.0
classification by attraction,classification by attraction,2.6666666666666665
classification code,classification code,2.5
classification scheme,classification scheme,4.0
classified catalog,classify catalog,3.0
classified encyclopedia,classify encyclopedia,3.0
classified index,classify index,3.5
classified list of subject headings,classify list of subject heading,1.875
classified order,classified order,1.5
classroom library,classroom library,1.0
classroom visit,classroom visit,1.0
clay tablet,clay tablet,3.0
clean proof,clean proof,2.0
clearinghouse,clearinghouse,3.0
clipping file,clip file,2.75
close classification,close classification,2.5
closed entry,close entry,2.0
closed stack system,close stack system,2.3333333333333335
cloth binding,cloth bind,2.5
co-citation,co - citation,5.0
code of ethics,code of ethic,2.0
codex,codex,3.0
collating,collate,3.0
collation,collation,3.0
collection,collection,1.0
collection development,collection development,2.0
collection evaluation,collection evaluation,2.5
collection for loan to groups,collection for loan to group,1.9
collection management,collection management,2.0
collective bibliographic unit,collective bibliographic unit,2.0
collective bibliography,collective bibliography,3.0
collective entry,collective entry,3.0
collective title,collective title,2.0
collective treatise,collective treatise,3.0
college library,college library,1.0
collocation,collocation,4.0
collotype,collotype,3.0
colophon,colophon,3.0
column,column,2.0
comics material,comic_strip material,2.0
comment,comment,3.5
common auxiliary,common auxiliary,2.5
common facet,common facet,2.0
common lending,common lending,2.0
common library admission,common library admission,2.0
common subdivision,common subdivision,3.0
common title,common title,2.0
communication,communication,2.0
community bunko,community bunko,4.0
community center,community center,4.0
community center library,community center library,2.5
community service,community service,3.5
compact disc,compact disc,3.0
compact shelving,compact shelving,3.0
